Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p;V_i;V_f;File
0.0;2017-09-18 13:45:01;45.45241869;-73.69722566;0;15.0;96.87323469722222;23.249576327333333;25.05654;23.249576327333333;1.0;1.0;0.0;1.4104406533311329;0.0;-0.059856750925925926;0.09026674305404302;0.011187709872887315;0.0;0.0;0.8;0.0;0.2;25.05654;21.87427545;246245
1.0;2017-09-18 13:45:16;45.44925149;-73.69717205;0;22.0;100.05786221944444;16.37310472681818;21.84979318;16.37310472681818;1.0;1.0;0.0;4.440909614116992;0.05061089087301588;-0.2641829269444444;0.5024522521105018;0.25179466448561033;0.0;0.0;0.4090909090909091;0.5454545454545454;0.045454545454545456;21.84979318;13.63908453;246245
2.0;2017-09-18 13:45:38;45.44727585;-73.69488736;0;21.0;100.22822935555556;17.181982175238097;20.08872157;17.181982175238097;1.0;1.0;0.0;1.950182758682208;0.08531265925925927;0.0;0.009766530857075916;0.0073690928060600154;0.0;0.0;0.047619047619047616;0.9523809523809523;0.0;13.9390975;20.08872157;246245
3.0;2017-09-18 13:45:59;45.44728574;-73.69027904;0;17.0;102.04322558055556;21.609153652352944;22.55438231;21.609153652352944;1.0;1.0;0.0;0.7122626583657339;0.04028857418300654;0.0;0.012618336401398523;0.0017730255989126652;0.0;0.0;1.0;0.0;0.0;20.30989372;22.55438231;246245
4.0;2017-09-18 13:46:16;45.44736492;-73.68557589;0;15.0;96.51987900555555;23.164770961333332;24.73984957;23.164770961333332;1.0;1.0;0.0;0.6196896780000427;0.05990609090909091;-0.012973190277777807;0.052977224427956375;0.004257432249873047;0.0;0.2;0.8;0.0;0.0;22.63479893;24.73984957;246245
5.0;2017-09-18 13:46:31;45.44728867;-73.68112375;0;24.0;176.89922916666666;26.534884375;27.60082907;26.534884375;1.0;1.0;0.0;0.8748637919094556;0.05989015598290594;-0.06804747979797982;0.0730068564422502;0.005109485395518843;0.0;0.125;0.875;0.0;0.0;25.17502432;24.90614887;246245
6.0;2017-09-18 13:46:57;45.4469315;-73.67263184;0;16.0;104.15429829444444;23.43471711625;24.67931969;23.43471711625;1.0;1.0;0.0;0.6899847079732541;0.0;-0.041684430555555506;0.01224156102837563;0.0018780815786266594;0.0;0.0;1.0;0.0;0.0;24.67931969;22.50512567;246245
7.0;2017-09-18 13:47:13;45.44594698;-73.66804396;0;16.0;97.80588035555556;22.006323079999998;22.42223983;22.006323079999998;1.0;1.0;0.0;0.2225255289638818;0.0;-0.013601160590277803;0.005178407246464385;0.00021013147716212121;0.0;0.0;1.0;0.0;0.0;22.42223983;21.72169882;246245
8.0;2017-09-18 13:47:29;45.44457601;-73.66397712;0;17.0;102.382288725;21.680955259411764;21.80077459;21.680955259411764;1.0;1.0;0.0;0.04777534628538331;0.00507096080246913;-0.002959144444444463;0.004854980785337818;2.38538092596202e-05;0.0;0.0;1.0;0.0;0.0;21.70178646;21.80077459;246245
9.0;2017-09-18 13:47:46;45.44312172;-73.65973308;0;16.0;98.99317118611111;22.273463516875;22.84280267;22.273463516875;1.0;1.0;0.0;0.276879831779948;0.018090765277777802;0.0;0.014583836116339748;0.0005266710469621406;0.0;0.0;1.0;0.0;0.0;21.84279384;22.84280267;246245
